abetìnö<-vocal.7.b--abitìnö<-vocal.5.a--abitìnu<-degem.6--abbitìnu,afer.1 leniz.5 vocal.10
fasölìna<-vocal.5.a--fasulìna,leniz.12 vocal.10
fasölìnö<-vocal.5.a--fasulìnu,leniz.12 vocal.10
fatö̀rë<-vocal.5.c--fatùrë<-vocal.2.a--fatùri<-degem.2--fattùri,vocal.13
faudalàda<-leniz.5--faudalàta,leniz.12
faudàö<-vocal.9.b--faudàli,vocal.11
favö̀n<-leniz.14--favùni,
favö̀zza<-vocal.5.c--favùzza,
favàda<-leniz.5--favàta,
favèdda<-degem.4--favèḍḍa,ditt.1.b
fazzàda<-leniz.5--fazzàta,
fazzöletö̀në<-vocal.7.b--fazzölitö̀në<-vocal.5.c--fazzölitùnë<-vocal.5.a--fazzulitùnë<-vocal.2.a--fazzulitùni<-degem.2--fazzulittùni,leniz.12
fazzölètö<-vocal.5.a--fazzulètu<-degem.2--fazzulèttu,ditt.1.b leniz.12
faìdda<-degem.4--faìḍḍa,vocal.10
feddàzza<-vocal.7.b--fiddàzza<-degem.4--fiḍḍàzza,
feddè<-vocal.7.b--fiddè<-palat.5--fiddàri<-degem.4--fiḍḍàri,
feddïè<-vocal.7.b--fiddïè<-palat.10--fiddïàri<-degem.4--fiḍḍïàri,
feddö̀n<-vocal.7.b--fiddö̀n<-leniz.14--fiddùni<-degem.4--fiḍḍùni,
fedë̀lë<-vocal.7.b--fidë̀lë<-vocal.10--fidìlë<-vocal.2.a--fidìli,leniz.12 vocal.13
feghièra<-vocal.7.b--fighièra<-leniz.1--fichièra<-ditt.1.b--fichèra,
fegilè<-vocal.8.a--fugilè<-palat.5--fugilàri<-leniz.1--fucilàri,leniz.12 vocal.7.b
fegödìndia<-vocal.7.b--figödìndia<-vocal.5.a--figudìndia<-leniz.1--ficudìndia<-dissim.2--ficudìnnia,vocal.10
fegörìnö<-vocal.7.b--figörìnö<-vocal.5.a--figurìnu,vocal.10
fegùra<-vocal.7.b--figùra,vocal.5.c
felicità<-vocal.7.b--filicità,assib.6.d leniz.12 leniz.5 vocal.7.b
feliciàda<-vocal.7.b--filiciàda<-leniz.5--filiciàta<-degem.7--filicciàta,leniz.12 vocal.7.b
felièra<-vocal.7.b--filièra,leniz.12
felìnia<-vocal.8.a--fulìnia,leniz.12 vocal.10
femenö̀na<-vocal.7.b--fiminö̀na<-vocal.5.c--fiminùna<-degem.16--fimminùna,
femenàrö<-vocal.7.b--fiminàrö<-vocal.5.a--fiminàru<-degem.16--fimminàru,
femenèdda<-vocal.7.b--fiminèdda<-degem.4--fiminèḍḍa<-degem.16--fimminèḍḍa,ditt.1.b
feneströ̀n<-vocal.7.b--finiströ̀n<-leniz.14--finistrùni<-deretr.3--finiṣṭṛùni,
fenestràö<-vocal.9.b--fenestràli<-vocal.7.b--finistràli<-deretr.3--finiṣṭṛàli,
fenö̀ghjö<-vocal.7.b--finö̀ghjö<-vocal.5.c--finùghjö<-vocal.5.a--finùghju<-leniz.19.e--finùchju<-degem.7--finùcchju,
fenàda<-vocal.7.b--finàda<-leniz.5--finàta,
fenèstra<-vocal.7.b--finèstra<-deretr.3--finèṣṭṛa,ditt.1.b
fenì<-vocal.7.b--finì<-inf.2--finìri,
fenìlë<-vocal.7.b--finìlë<-vocal.2.a--finìli,leniz.12 vocal.10 vocal.13
fenöchjìnö<-vocal.7.b--finöchjìnö<-vocal.5.a--finuchjìnu<-degem.7--finucchjìnu,leniz.16 leniz.19.e vocal.10
fenùda<-vocal.7.b--finùda<-leniz.5--finùta,vocal.5.c
ferë̀ta<-vocal.7.b--firë̀ta<-vocal.10--firìta,leniz.5
fermadùra<-vocal.7.b--firmadùra<-leniz.5--firmatùra,vocal.5.c
fermechèdda<-vocal.7.b--firmichèdda<-degem.4--firmichèḍḍa,ditt.1.b leniz.1
fermàda<-vocal.7.b--firmàda<-leniz.5--firmàta,
fermè<-vocal.7.b--firmè<-palat.5--firmàri,
ferradìna<-vocal.7.b--firradìna<-leniz.5--firratìna,vocal.10
ferrë̀tö<-vocal.7.b--firrë̀tö<-vocal.5.a--firrë̀tu<-vocal.10--firrìtu,leniz.5
ferriuòö<-vocal.7.b--firriuòö<-vocal.5.a--firriuòu<-leniz.12--firriuòlu,
ferrovìa,vocal.10
ferrö̀zza<-vocal.7.b--firrö̀zza<-vocal.5.c--firrùzza,
ferràina<-vocal.7.b--firràina,
ferrè<-vocal.7.b--firrè<-palat.5--firràri,
ferröfilà<-vocal.5.a--ferrufilà<-leniz.7--ferrufilàtu,leniz.12 vocal.7.b
ferrövìa<-vocal.7.b--firrövìa<-vocal.5.a--firruvìa,vocal.10
fertùna<-vocal.8.a--furtùna,vocal.5.c
fertùra<-vocal.8.a--furtùra,vocal.5.c
ferìda<-vocal.7.b--firìda<-leniz.5--firìta,vocal.10
ferìsciö<-vocal.7.b--firìsciö<-inf.4--firìri,vocal.10
feschè<-vocal.7.b--fischè<-palat.1--fiscàri,
feschìa<-vocal.7.b--fischìa,vocal.10
fescèdda<-vocal.8.a--fuscèdda<-degem.4--fuscèḍḍa,ditt.1.b
fessïèssë<-vocal.7.b--fissïèssë<-palat.11--fissïàrisi,
festìnö<-vocal.7.b--fistìnö<-vocal.5.a--fistìnu,vocal.10 leniz.16
fetenzìa<-vocal.7.b--fitinzìa,leniz.5 vocal.10
fetìghjö<-vocal.7.b--fitìghjö<-vocal.5.a--fitìghju<-degem.9--fitìgghju,leniz.5 vocal.10
fetìsciö<-vocal.7.b--fitìsciö<-inf.4--fitìri,leniz.5 vocal.10
fetölìna<-vocal.7.b--fitölìna<-vocal.5.a--fitulìna,leniz.12 leniz.5 vocal.10
fezziönèssë<-vocal.7.b--fizziönèssë<-vocal.5.a--fizziunèssë<-palat.6--fizziunàrisi<-degem.11--ffizziunàrisi,
fë̀dë<-vocal.10--fìdë<-vocal.2.a--fìdi,vocal.13
fë̀lesgë<-vocal.7.b--fë̀lisgë<-vocal.10--fìlisgë<-assib.6.b--fìlici,leniz.12 vocal.13
fë̀mena<-vocal.7.b--fë̀mina<-vocal.10--fìmina<-degem.16--fìmmina,
fë̀n<-vocal.10--fìn<-leniz.16--fìnu,
fichè<-degem.8--ficcàri,vocal.7.b
fichèssë<-palat.2--ficàrisi<-degem.7--ficcàrisi<-degem.11--fficcàrisi<-afer.1--afficcàrisi,vocal.7.b
ficàda<-leniz.5--ficàta<-degem.7--ficcàta,vocal.7.b
fidè<-palat.5--fidàri,vocal.7.b
fièö<-vocal.13--fièi<-leniz.12--fièli<-ditt.1.b--fèli,
fighjö̀zzö<-vocal.5.c--fighjùzzö<-vocal.5.a--fighjùzzu<-degem.9--figghjùzzu,vocal.7.b
fighjàstra<-deretr.3--fighjàṣṭṛa<-degem.9--figghjàṣṭṛa,vocal.7.b
fighjàströ<-vocal.5.a--fighjàstru<-deretr.3--fighjàṣṭṛu<-degem.9--figghjàṣṭṛu,vocal.7.b
fighjè<-palat.5--fighjàri<-degem.9--figghjàri,vocal.7.b
fighjòlö<-vocal.5.a--fighjòlu<-degem.9--figghjòlu,ditt.2.b leniz.12 vocal.7.b
fighjòzza<-degem.9--figghjòzza,ditt.2.b vocal.7.b
fighjòzzö<-vocal.5.a--fighjòzzu<-degem.9--figghjòzzu,ditt.2.b vocal.7.b
filadö̀ra<-vocal.5.c--filadùra<-leniz.5--filatùra,leniz.12 vocal.7.b
filagnàda,leniz.12 vocal.7.b
filandàra<-dissim.2--filannàra,leniz.12 vocal.7.b
filö̀sa<-vocal.5.c--filùsa,leniz.12 vocal.7.b
filàgnö<-vocal.5.a--filàgnu,leniz.12 vocal.7.b
filè<-palat.5--filàri,leniz.12 vocal.7.b
filètö<-vocal.5.a--filètu<-degem.2--filèttu,ditt.1.b leniz.12 vocal.7.b
finë̀zza<-vocal.10--finìzza,vocal.7.b
finàita,leniz.5 
firmè<-palat.5--firmàri,vocal.7.b
fiscalètö<-vocal.5.a--fiscalètu<-degem.2--fiscalèttu,ditt.1.b leniz.12 vocal.7.b
fischè<-palat.1--fiscàri,vocal.7.b
fiscàda<-leniz.5--fiscàta,vocal.7.b
fissarìa,vocal.10 vocal.7.b
fissè<-palat.5--fissàri<-degem.11--ffissàri<-afer.1--affissàri,vocal.7.b
fissèssë<-palat.6--fissàrisi,vocal.7.b
fitè<-palat.5--fitàri<-degem.2--fittàri<-degem.11--ffittàri<-afer.1--affittàri,vocal.7.b
fiègö<-vocal.5.a--fiègu,
fièra<-ditt.1.b--fèra,
fiètö<-vocal.5.a--fiètu<-ditt.1.b--fètu,leniz.5
flàude<-vocal.8.a--flàudu<-leniz.5--flàutu,
forfè<-degem.11--fforfè<-afer.1--afforfè,
fö̀dda<-vocal.5.c--fùdda<-degem.4--fùḍḍa,
fö̀ndegö<-vocal.8.a--fö̀ndugö<-vocal.5.c--fùndugö<-vocal.5.a--fùndugu<-leniz.1--fùnducu<-dissim.2--fùnnucu,
fö̀ndö<-vocal.5.c--fùndö<-vocal.5.a--fùndu,
fö̀rma<-vocal.5.c--fùrma,
fö̀rnö<-vocal.5.c--fùrnö<-vocal.5.a--fùrnu,
fö̀tö<-vocal.5.c--fùtö<-inf.3.a--fùtiri<-degem.2--fùttiri,
frà,
frabalà<-degem.6--frabbalà,leniz.12
frabichè<-palat.1--frabicàri<-degem.6--frabbicàri,leniz.1 vocal.7.b
frabicà<-leniz.7--frabicàtu<-degem.6--frabbicàtu,leniz.1 vocal.7.b
fracassè<-palat.5--fracassàri,leniz.1
frachìna<-degem.7--fracchìna,leniz.1 vocal.10
fracàssö<-vocal.5.a--fracàssu,leniz.1
fragazzàna<-leniz.1--fracazzàna,
francë̀sa<-vocal.10--francìsa,assib.9
franchìsciö<-inf.4--franchìri<-degem.11--ffranchìri,vocal.10
francàda<-leniz.5--francàta,
franè<-palat.5--franàri,
frascàtela<-vocal.8.a--frascàtula,leniz.12 leniz.5
frascàtöla<-vocal.5.a--frascàtula,leniz.12 leniz.5
fratachjö̀n<-leniz.14--fratachjùni<-degem.7--fratacchjùni,leniz.5
fregelità<-vocal.7.b--frigilità<-degem.9--friggilità,leniz.12 leniz.5 vocal.7.b
freghè<-vocal.7.b--frighè<-palat.3--frigàri<-leniz.1--fricàri,
fregàda<-vocal.7.b--frigàda<-leniz.5--frigàta<-leniz.1--fricàta,
fremegölïè<-vocal.8.a--frumegölïè<-vocal.7.b--frumigölïè<-vocal.5.a--frumigulïè<-palat.10--frumigulïàri<-leniz.1--frumiculïàri<-degem.16--frummiculïàri,leniz.12
fremìgöla<-vocal.8.a--frumìgöla<-vocal.5.a--frumìgula<-leniz.1--frumìcula,leniz.12 vocal.10
frenàda<-vocal.7.b--frinàda<-leniz.5--frinàta,
frenè<-vocal.7.b--frinè<-palat.5--frinàri,
frescanzàna<-vocal.7.b--friscanzàna,
freschë̀zza<-vocal.7.b--frischë̀zza<-vocal.10--frischìzza,
frescùra,vocal.5.c
frestièrö<-vocal.9.a--frestièri<-vocal.8.a--frustièri<-ditt.1.b--frustèri,
frevàrö<-vocal.7.b--frivàrö<-vocal.5.a--frivàru,
frë̀nza<-vocal.10--frìnza,
fritàda<-leniz.5--fritàta<-degem.2--frittàta,vocal.7.b
fritèdda<-degem.4--fritèḍḍa,ditt.1.b vocal.7.b
fritùra<-degem.2--frittùra,vocal.5.c vocal.7.b
frièva<-ditt.1.b--frèva,
frö̀ntö<-vocal.13--frö̀nti<-vocal.5.c--frùnti,
frustè<-palat.5--frustàri,vocal.11
frutàtö<-vocal.5.a--frutàtu<-degem.2--fruttàtu,vocal.11 leniz.7
frutè<-palat.5--frutàri<-degem.2--fruttàri,vocal.11
fràbeca<-vocal.7.b--fràbica<-degem.6--fràbbica,leniz.1
fràgöla<-vocal.5.a--fràgula,leniz.12
fràna,
frància,assib.9
fràncö<-vocal.5.a--fràncu,
fràsca,
fràutö<-vocal.5.a--fràutu,leniz.5
frènö<-vocal.5.a--frènu,ditt.1.b
frìgetö<-vocal.7.b--frìgitö<-vocal.5.a--frìgitu<-degem.9--frìggitu,vocal.10 leniz.5
frìndöla<-vocal.5.a--frìndula<-dissim.2--frìnnula,leniz.12 vocal.10
frìtöla<-vocal.5.a--frìtula<-degem.2--frìttula,leniz.12 vocal.10
frìtölë<-vocal.5.a--frìtulë<-vocal.2.a--frìtuli<-degem.2--frìttuli,leniz.12 vocal.10
fròta<-degem.2--fròtta,ditt.2.b
fröchèta<-vocal.5.a--fruchèta<-degem.7--frucchèta<-degem.2--frucchètta,ditt.1.b
frömentö̀n<-vocal.7.b--frömintö̀n<-vocal.5.a--frumintö̀n<-leniz.14--frumintùni,
frömë̀ntö<-vocal.5.a--frumë̀ntu<-vocal.10--frumìntu<-degem.16--frummìntu,
fröntèssë<-vocal.5.a--fruntèssë<-palat.6--fruntàrisi<-degem.11--ffruntàrisi<-afer.1--affruntàrisi,
fröntìcölö<-vocal.5.a--fruntìculu,leniz.1 leniz.12 vocal.10
fröntìzza<-vocal.5.a--fruntìzza,vocal.10
fröstièrö<-vocal.9.a--fröstièri<-vocal.5.a--frustièri<-ditt.1.b--frustèri,
frùsciö<-vocal.5.a--frùsciu,vocal.5.c
frùsta,vocal.5.c
frùtö<-vocal.5.a--frùtu<-degem.2--frùttu,vocal.5.c
fugarèö<-vocal.5.a--fugarèu<-degem.20--fugarèḍḍu,ditt.1.b vocal.11
fuiùda<-leniz.5--fuiùta,vocal.5.c vocal.11
fumaruòö<-vocal.5.a--fumaruòu<-leniz.12--fumaruòlu<-ditt.2.b--fumaròlu,vocal.11
fumaràzzö<-vocal.5.a--fumaràzzu,vocal.11
fumighè<-palat.3--fumigàri<-leniz.1--fumicàri<-degem.11--ffumicàri,vocal.7.b vocal.11
fumièrö<-vocal.9.a--fumièri<-ditt.1.b--fumèri,vocal.11
fumàda<-leniz.5--fumàta,vocal.11
fumè<-palat.5--fumàri,vocal.11
fumìgiö<-vocal.5.a--fumìgiu<-degem.9--fumìggiu,vocal.10 vocal.11
fumölìgiö<-vocal.5.a--fumulìgiu<-degem.9--fumulìggiu,leniz.12 vocal.10 vocal.11
funeràlë<-vocal.2.a--funeràli,leniz.12 vocal.11 vocal.13
furë̀tö<-vocal.5.a--furë̀tu<-vocal.10--furìtu<-degem.2--furìttu,vocal.11
furrïö̀n<-leniz.14--furrïùni,vocal.11
furèsta,ditt.1.b vocal.11
fustàgnö<-vocal.5.a--fustàgnu,vocal.11
fuòghja<-ditt.2.b--fòghja<-degem.9--fògghja,
fuògö<-vocal.5.a--fuògu<-leniz.1--fuòcu,
fàghjö<-vocal.5.a--fàghju<-degem.9--fàgghju,
fàgö<-vocal.5.a--fàgu,
fàma,
fàngö<-vocal.5.a--fàngu,
fàrcö<-vocal.5.a--fàrcu,
fàrda,
fàrrö<-vocal.5.a--fàrru,
fàrsa,
fàscia,
fàsciö<-vocal.5.a--fàsciu,
fàta,leniz.5
fàtö<-vocal.5.a--fàtu<-degem.2--fàttu,
fàuda,
fàva,
fàvöla<-vocal.5.a--fàvula,leniz.12
fàzzö<-vocal.5.a--fàzzu,
fè<-palat.5--fàri,
fèrrö<-vocal.5.a--fèrru,ditt.1.b
fèssë<-palat.6--fàrisi,
fèsta,ditt.1.b
fèzza,ditt.1.b
fìbia<-degem.6--fìbbia,vocal.10
fìchetö<-vocal.8.b--fìcutö<-vocal.5.a--fìcutu,leniz.1 leniz.5 vocal.10
fìda,vocal.10
fìga<-leniz.1--fìca,vocal.10
fìghja<-degem.9--fìgghja,vocal.10
fìghjö<-vocal.5.a--fìghju<-degem.9--fìgghju,vocal.10
fìla,leniz.12 vocal.10
fìlö<-vocal.5.a--fìlu,leniz.12 vocal.10
fìn<-leniz.16--fìnu,vocal.10
fìrma,vocal.10
fìscö<-vocal.5.a--fìscu,vocal.10
fìsema<-vocal.7.b--fìsima,vocal.10
fìssa,vocal.10
fìta<-degem.2--fìtta,vocal.10
fìzziö<-vocal.5.a--fìzziu<-degem.11--ffìzziu,vocal.10
fìö<-vocal.5.a--fìu<-leniz.12--fìlu,vocal.10
fòddera<-vocal.8.a--fòddura<-degem.4--fòḍḍura,ditt.2.b
fòdera<-vocal.7.b--fòdira,ditt.2.b
fòghjö<-vocal.5.a--fòghju<-degem.9--fògghju,ditt.2.b
fòntë<-vocal.2.a--fònti,ditt.2.b
fòrgia,ditt.2.b
fòrma,ditt.2.b
fòrvesgia<-vocal.7.b--fòrvisgia<-assib.6.c--fòrvicia,ditt.2.b
fòrza,ditt.2.b
fòssa,ditt.2.b
fòssö<-vocal.5.a--fòssu,ditt.2.b
föddë̀tö<-vocal.5.a--fuddë̀tu<-vocal.10--fuddìtu<-degem.4--fuḍḍìtu<-degem.2--fuḍḍìttu,
föddè<-vocal.5.a--fuddè<-palat.5--fuddàri<-degem.4--fuḍḍàri,
föddèssë<-vocal.5.a--fuddèssë<-palat.6--fuddàrisi<-degem.4--fuḍḍàrisi<-degem.11--ffuḍḍàrisi,
föddìa<-vocal.5.a--fuddìa<-degem.4--fuḍḍìa,vocal.10
föghè<-vocal.5.a--fughè<-palat.3--fugàri<-leniz.1--fucàri<-degem.11--ffucàri<-afer.1--affucàri,
föghïè<-vocal.5.a--fughïè<-palat.10--fughïàri<-leniz.19.h--fuchïàri,
fögàgnö<-vocal.5.a--fugàgnu<-leniz.1--fucàgnu,
fögölè<-vocal.5.a--fugulè<-palat.5--fugulàri<-leniz.1--fuculàri,leniz.12
föiùda<-vocal.5.a--fuiùda<-leniz.5--fuiùta,vocal.5.c
fömölìgiö<-vocal.5.a--fumulìgiu<-degem.9--fumulìggiu,leniz.12 vocal.10
fö̀ncia<-vocal.5.c--fùncia,assib.9
föndarìghjö<-vocal.5.a--fundarìghju<-dissim.2--funnarìghju<-degem.9--funnarìgghju,vocal.10
föndèdda<-vocal.5.a--fundèdda<-dissim.2--funnèdda<-degem.4--funnèḍḍa,ditt.1.b
föntanièrö<-vocal.9.a--föntanièri<-vocal.5.a--funtanièri<-ditt.1.b--funtanèri,
föntàna<-vocal.5.a--funtàna,
fönziönè<-vocal.5.a--funziunè<-palat.5--funziunàri,
förbità<-vocal.5.a--furbità,leniz.5 vocal.7.b
förchetö̀n<-vocal.7.b--förchitö̀n<-vocal.5.a--furchitö̀n<-leniz.14--furchitùni<-degem.2--furchittùni,
förcö̀n<-vocal.5.a--furcö̀n<-leniz.14--furcùni,
förcàda<-vocal.5.a--furcàda<-leniz.5--furcàta,
förcàte<-vocal.8.a--förcàtu<-vocal.5.a--furcàtu,leniz.5 leniz.7
förcèdda<-vocal.5.a--furcèdda<-degem.4--furcèḍḍa,assib.5 ditt.1.b
förmichèdda<-vocal.5.a--furmichèdda<-degem.4--furmichèḍḍa,ditt.1.b leniz.1 vocal.7.b
förmè<-vocal.5.a--furmè<-palat.5--furmàri,
förnàca<-vocal.5.a--furnàca,leniz.1
förnàre<-vocal.8.a--förnàru<-vocal.5.a--furnàru,
förrìzzö<-vocal.5.a--furrìzzu,vocal.10
förturàda<-vocal.5.a--furturàda<-leniz.5--furturàta,vocal.11
förtùna<-vocal.5.a--furtùna,vocal.5.c
förtùra<-vocal.5.a--furtùra,vocal.5.c
förzè<-vocal.5.a--furzè<-palat.5--furzàri,
fössö̀n<-vocal.5.a--fussö̀n<-leniz.14--fussùni,
fötestèriö<-vocal.7.b--fötistèriö<-vocal.5.a--futistèriu<-degem.2--futtistèriu,ditt.1.b
fötùda<-vocal.5.a--futùda<-leniz.5--futùta<-degem.2--futtùta,vocal.5.c
fùmö<-vocal.5.a--fùmu,vocal.5.c
fùrgherö<-vocal.8.c--fùrgurö<-vocal.5.a--fùrguru,vocal.5.c
fùria,vocal.5.c
fùsö<-vocal.5.a--fùsu,vocal.5.c
gabinètö<-vocal.5.a--gabinètu<-degem.6--gabbinètu<-degem.2--gabbinèttu,ditt.1.b vocal.7.b
gabè<-palat.5--gabàri<-degem.6--gabbàri,
gaddë̀tö<-vocal.5.a--gaddë̀tu<-vocal.10--gaddìtu<-degem.4--gaḍḍìtu<-degem.2--gaḍḍìttu,
gaddinàrö<-vocal.5.a--gaddinàru<-degem.4--gaḍḍinàru,vocal.7.b
gaddinèdda<-degem.4--gaḍḍinèḍḍa,ditt.1.b vocal.7.b
gaddàzzö<-vocal.5.a--gaddàzzu<-degem.4--gaḍḍàzzu,
gaddè<-palat.5--gaddàri<-degem.4--gaḍḍàri,
gaddìna<-degem.4--gaḍḍìna,vocal.10
gaddùfö<-vocal.5.a--gaddùfu<-elim.4.a--iaddùfu<-degem.4--iaḍḍùfu<-degem.11--iaḍḍùffu,vocal.5.c
galantarìa,leniz.12 vocal.10
galantòmö<-vocal.5.a--galantòmu,ditt.2.b leniz.12
galìfö<-vocal.5.a--galìfu<-elim.4.a--ialìfu,leniz.12 vocal.10
galòfarö<-vocal.5.a--galòfaru,ditt.2.b leniz.12
galòferö<-vocal.7.b--galòfirö<-vocal.5.a--galòfiru,ditt.2.b leniz.12
galòpö<-vocal.5.a--galòpu<-degem.5--galòppu,ditt.2.b leniz.12
galòscia,ditt.2.b leniz.12
galöpàda<-vocal.5.a--galupàda<-leniz.5--galupàta<-degem.5--galuppàta,leniz.12
galöpè<-vocal.5.a--galupè<-palat.5--galupàri<-degem.5--galuppàri,leniz.12 
galöpïè<-vocal.5.a--galupïè<-palat.10--galupïàri<-degem.5--galuppïàri,leniz.12 
gambàda<-leniz.5--gambàta<-dissim.1--gammàta,
gambàö<-vocal.9.b--gambàli<-dissim.1--gammàli,
gambìddö<-vocal.5.a--gambìddu<-dissim.1--gammìddu<-degem.4--gammìḍḍu,vocal.10
gambìghja<-dissim.1--gammìghja<-degem.9--gammìgghja,vocal.10
gamìddö<-vocal.5.a--gamìddu<-degem.4--gamìḍḍu,vocal.10
gangarèdda<-degem.4--gangarèḍḍa,ditt.1.b
ganghïè<-palat.10--ganghïàri,
gangàda<-leniz.5--gangàta,
gangàmö<-vocal.5.a--gangàmu,
garbè<-palat.5--garbàri<-degem.9--ggarbàri<-afer.1--aggarbàri,
gargiarìna,vocal.10
gargiö̀n<-leniz.14--gargiùni,
gargiulàrö<-vocal.5.a--gargiulàru,leniz.12 vocal.11
gargiàda<-leniz.5--gargiàta,
gargiàzza,
gargïè<-palat.10--gargïàri,
garratèö<-vocal.5.a--garratèu<-degem.20--garratèḍḍu,ditt.1.b leniz.5
garrö̀n<-leniz.14--garrùni,
garrö̀sö<-vocal.5.c--garrùsö<-vocal.5.a--garrùsu<-elim.4.a--iarrùsu,
garràfa<-degem.11--garràffa,
gatighjàda<-leniz.5--gatighjàta<-degem.9--gatigghjàta<-degem.2--gattigghjàta,vocal.7.b
gatighjè<-palat.5--gatighjàri<-degem.9--ggatigghjàri<-degem.2--ggattigghjàri,vocal.7.b
gatö̀n<-leniz.14--gatùni<-degem.2--gattùni,
gatö̀sö<-vocal.5.c--gatùsö<-vocal.5.a--gatùsu<-degem.2--gattùsu,
gatìghjö<-vocal.5.a--gatìghju<-degem.9--ggatìgghju<-degem.2--ggattìgghju,vocal.10
gatïè<-palat.10--gatïàri<-degem.2--gattïàri,
gatöpàrdö<-vocal.5.a--gatupàrdu<-degem.2--gattupàrdu,leniz.3
gatùfö<-vocal.5.a--gatùfu<-degem.11--gatùffu,leniz.5 vocal.5.c
gavità<-leniz.7--gavitàtu,leniz.5 vocal.7.b
gavitè<-palat.5--gavitàri,leniz.5 vocal.7.b
gavìtö<-vocal.5.a--gavìtu<-elim.4.a--iavìtu,leniz.5 vocal.10
gelatàrö<-vocal.7.b--gilatàrö<-vocal.5.a--gilatàru<-degem.9--ggilatàru,assib.13 leniz.12 leniz.5
gelatìna<-vocal.7.b--gilatìna<-degem.9--ggilatìna,assib.13 leniz.12 leniz.5 vocal.10
gelecö̀në<-vocal.7.b--gilicö̀në<-vocal.5.c--gilicùnë<-vocal.2.a--gilicùni<-degem.9--ggilicùni<-degem.7--ggiliccùni,assib.13 leniz.12 leniz.14
gelàda<-vocal.7.b--gilàda<-leniz.5--gilàta<-elim.4.b--ilàta,assib.13 leniz.12
gelàtö<-vocal.5.a--gelàtu<-degem.9--ggelàtu,assib.13 leniz.12 leniz.5 leniz.7
gelè<-vocal.7.b--gilè<-palat.5--gilàri<-degem.9--ggilàri,leniz.12
gelècö<-vocal.7.b--gilècö<-vocal.5.a--gilècu<-degem.9--ggilècu<-degem.7--ggilèccu,assib.13 ditt.1.b leniz.12
gelèpö<-vocal.7.b--gilèpö<-vocal.5.a--gilèpu<-degem.9--ggilèpu<-degem.5--ggilèppu,assib.13 ditt.1.b leniz.12
gelösìa<-vocal.7.b--gilösìa<-vocal.5.a--gilusìa<-degem.9--ggilusìa,assib.13 assib.2 leniz.12 vocal.10
gencö̀n<-vocal.7.b--gincö̀n<-leniz.14--gincùni<-elim.4.b--incùni,assib.13
gendö̀sö<-vocal.7.b--gindö̀sö<-vocal.5.c--gindùsö<-vocal.5.a--gindùsu<-elim.4.b--indùsu<-dissim.2--innùsu,assib.13
generàlë<-vocal.2.a--generàli<-degem.9--ggeneràli,vocal.13 assib.13 leniz.12
generösità<-vocal.5.a--generusità<-degem.9--ggenerusità,assib.1.a assib.13 leniz.5 vocal.7.b
genë̀sa<-vocal.7.b--ginë̀sa<-vocal.10--ginìsa<-degem.9--gginìsa,assib.13
gentilë̀zza<-vocal.10--gentilìzza<-degem.9--ggentilìzza,assib.13 leniz.12 vocal.7.b
genèstra<-vocal.7.b--ginèstra<-deretr.3--ginèṣṭṛa<-degem.9--gginèṣṭṛa,assib.13 ditt.1.b
genìa<-vocal.7.b--ginìa<-degem.9--gginìa,assib.13 vocal.10
genìzza<-vocal.7.b--ginìzza<-degem.9--gginìzza,assib.13 vocal.10
gersömìnö<-vocal.5.a--gersumìnu<-degem.9--ggersumìnu,assib.13 vocal.10 leniz.16
gerïè<-vocal.7.b--girïè<-palat.10--girïàri<-degem.9--ggirïàri,assib.13
gesièrö<-vocal.9.a--gesièri<-vocal.7.b--gisièri<-degem.9--ggisièri,assib.1.c assib.13
gestïè<-vocal.7.b--gistïè<-palat.10--gistïàri<-degem.9--ggistïàri,assib.13
gevölè<-vocal.7.b--givölè<-vocal.5.a--givulè<-palat.5--givulàri<-degem.9--ggivulàri,assib.13 leniz.12
gë̀da<-vocal.10--gìda<-degem.9--ggìda,assib.13
ghjaruòö<-vocal.5.a--ghjaruòu<-leniz.12--ghjaruòlu<-ditt.2.b--ghjaròlu<-degem.9--gghjaròlu,
ghènga,ditt.1.b
giaiàzzö<-vocal.5.a--giaiàzzu<-degem.9--ggiaiàzzu,assib.13
giambèrga<-degem.9--ggiambèrga,assib.13 ditt.1.b
giardenièrö<-vocal.9.a--giardenièri<-vocal.7.b--giardinièri<-elim.4.b--iardinièri<-ditt.1.b--iardinèri,assib.13
giardìn<-leniz.16--giardìnu<-degem.9--ggiardìnu,assib.13 vocal.10
giarretö̀n<-vocal.7.b--giarritö̀n<-leniz.14--giarritùni<-degem.9--ggiarritùni<-degem.2--ggiarrittùni,assib.13
giarràfa<-degem.9--ggiarràfa<-degem.11--ggiarràffa,assib.13
giastemè<-vocal.7.b--giastimè<-palat.5--giastimàri<-elim.4.b--iastimàri,assib.13 
giastë̀ma<-vocal.10--giastìma<-elim.4.b--iastìma,assib.13
gichè<-elim.4.b--ichè<-degem.8--iccàri,assib.13 vocal.7.b
gighjè<-palat.5--gighjàri<-degem.9--ggigghjàri<-afer.1--aggigghjàri,assib.13
gimàrra<-degem.9--ggimàrra,assib.13 vocal.7.b
giö̀cö<-vocal.5.c--giùcö<-vocal.5.a--giùcu<-elim.4.b--iùcu,assib.13 leniz.1
giö̀ncö<-vocal.5.c--giùncö<-vocal.5.a--giùncu<-degem.9--ggiùncu,assib.13
